date,info
2019-07-13 19:01:04.837000+00:00,"{""precipitation"": 0.0, ""winddirection"": ""Este"", ""humidity"": 80.0, ""windspeed"": 13.7, ""pressure"": 1015.5, ""description"": ""Aveiro (Universidade) @ 2019-07-13T18:00"", ""temperature"": 21.9}"
2019-07-13 19:34:47.985000+00:00,"{""temperature"":26.72,""linkquality"":28,""humidity"":74.7,""pressure"":1011.2,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:51.735000+00:00,"{""temperature"":26.79,""linkquality"":28,""humidity"":74.7,""pressure"":1011.2,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:51.773000+00:00,"{""temperature"":26.79,""linkquality"":28,""humidity"":72.3,""pressure"":1011.2,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:54.973000+00:00,"{""temperature"":26.75,""linkquality"":28,""humidity"":72.3,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:55.003000+00:00,"{""temperature"":26.75,""linkquality"":28,""humidity"":70.77,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:55.004000+00:00,"{""temperature"":26.75,""linkquality"":28,""humidity"":70.77,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:58.209000+00:00,"{""temperature"":26.72,""linkquality"":28,""humidity"":70.77,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:58.242000+00:00,"{""temperature"":26.72,""linkquality"":28,""humidity"":69.53,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:34:58.243000+00:00,"{""temperature"":26.72,""linkquality"":28,""humidity"":69.53,""pressure"":1011,""battery"":80,""voltage"":2965}"
2019-07-13 19:40:45.300000+00:00,"{""occupancy"":true,""linkquality"":39,""battery"":100,""voltage"":3015,""illuminance"":6}"
2019-07-13 19:40:47.295000+00:00,"{""occupancy"":true,""linkquality"":36,""battery"":100,""voltage"":3015,""illuminance"":6}"
2019-07-13 19:40:47.296000+00:00,"{""occupancy"":true,""linkquality"":34,""battery"":100,""voltage"":3015,""illuminance"":6}"
2019-07-13 19:40:52.487000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":91}"
2019-07-13 19:40:52.529000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":91}"
2019-07-13 19:40:57.738000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":34}"
2019-07-13 19:40:57.775000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":34}"
2019-07-13 19:41:02.995000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":33}"
2019-07-13 19:41:03.035000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":33}"
2019-07-13 19:41:09.337000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:41:09.352000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":68}"
2019-07-13 19:41:15.178000+00:00,"{""occupancy"":true,""linkquality"":0,""battery"":100,""voltage"":3015,""illuminance"":69}"
